,Text,Speaker,Party
994,"But in all of that senator and secretary, I think we're leaving out something very important here. And that is that we still don't have the human intelligence: overt, in terms of diplomatic intelligence or covert, to understand even what the heck happens as the secondary and tertiary effects of some of these things. We are walking through this region, Andrea, without the human intelligence that we need. And we need to make a renewed investment as a country in bringing up a new generation of foreign service officers, and bringing up a new generation of business people and actually understanding and having relationships in these places. So we have a better sense of what the heck happens after a dictator topples and can take action to prevent another safe haven and another iteration of terror.",O'Malley,Democratic
995,,,
996,,,
997,"Well, it would depend on what I got for it and I can tell you what we got in the first term, we got a new start treaty to reduce nuclear weapons between the United States and Russia. We got permission to resupply our troops in Afghanistan by traveling across Russia. We got Russia to sign on to our sanctions against Iran and other very important commitments. So look, in diplomacy, you are always trying to see how you can figure out the interest of the other to see if there isn't some way you can advance your security and your values. When Putin came back in the fall of 2011, it was very clear he came back with a mission. And I began speaking out as soon as that happened because there were some fraudulent elections held, and Russians poured out into the streets to demand their freedom, and he cracked down. And in fact, accused me of fomenting it. So we now know that he has a mixed record to say the least and we have to figure out how to deal with him.",Clinton,Democratic
998,,,
999,"Well, my relationship with him, it's -- it's interesting.",Clinton,Democratic
1000,,,
1001,"It's one, I think, of respect. We've had some very tough dealings with one another. And I know that he's someone that you have to continuingly stand up to because, like many bullies, he is somebody who will take as much as he possibly can unless you do. And we need to get the Europeans to be more willing to stand up, I was pleased they put sanctions on after Crimea and eastern Ukraine and the downing of the airliner, but we've got to be more united in preventing Putin from taking a more aggressive stance in Europe and the Middle East.",Clinton,Democratic
1002,,,
1003,,,
1004,,,
1005,,,
1006,,,
1007,,,
1008,"Thank you. I believe whether it's a back door or a front door that the American principle of law should still hold that our federal government should have to get a warrant, whether they want to come through the back door or your front door.",O'Malley,Democratic
1009,,,
1010,"And I also agree, Lester, with Benjamin Franklin, who said, no people should ever give up their privacy or their freedoms in a promise for security. So we're a collaborative people. We need collaborative leadership here with Silicon Valley and other bright people in my own state of Maryland and around the NSA that can actually figure this out. But there are certain immutable principles that will not become antique things in our country so long as we defend our country and its values and its freedoms. And one of those things is our right to be secure in our homes, and our right to expect that our federal government should have to get a warrant. I also want to the say that while we've made some progress on the Patriot Act, I do believe that we need an adversarial court system there. We need a public advocate. We need to develop jurisprudence so that we can develop a body of law that protects the privacy of Americans in the information and digital age.",O'Malley,Democratic
1011,,,
1012,"Yes, Lester, year in and year out I was the leader of the U.S. ...",O'Malley,Democratic
1013,,,
1014,"OK. I just wanted to add, in the previous question, I voted against the USA Patriot Act for many of the reasons that Governor O'Malley mentioned. But it is not only the government that we have to worry about, it is private corporations. You would all be amazed, or maybe not, about the amount of information private companies and the government has in terms of the Web sites that you access, the products that you buy, where you are this very moment. And it is very clear to me that public policy has not caught up with the explosion of technology. So yes, we have to work with Silicon Valley to make sure that we do not allow ISIS to transmit information...",Sanders,Democratic
1015,,,
1016,"Right. What we have got to do there is, among other things, as I was just saying, have Silicon Valley help us to make sure that information being transmitted through the Internet or in other ways by ISIS is, in fact, discovered. But I do believe we can do that without violating the constitutional and privacy rights of the American people.",Sanders,Democratic
1017,,,
1018,,,
1019,"Oh, we're breaking? OK.",Clinton,Democratic
1020,,,
1021,,,
1022,"Can I get 30 seconds, too?",O'Malley,Democratic
1023,,,
1024,Can I get 50 seconds?,Sanders,Democratic
1025,,,
1026,"Well, I wanted to say, and I'll do it quickly, I was very pleased that leaders of President Obama's administration went out to Silicon Valley last week and began exactly this conversation about what we can do, consistent with privacy and security. We need better intelligence cooperation, we need to be sure that we are getting the best intelligence that we can from friends and allies around the world. And then, we've got to recognize our first line of defense against lone wolf attacks is among Muslim Americans. And it is not only shameful, it is dangerous for the kinds of comments you're hearing from the Republican side. We need to be reaching out and unifying our country against terrorist attacks and lone wolves, and working with Muslim Americans.",Clinton,Democratic
1027,,,
1028,,,
1029,And Andrea -- Andrea -- Andrea...,O'Malley,Democratic
1030,,,
1031,"Andrea, when can I get my 30 seconds?",O'Malley,Democratic
1032,,,
1033,That is not what I've heard. Let me leave it at that.,Clinton,Democratic
1034,"Andrea, I need to talk about homeland security and preparedness. Ever since the attacks of September 11th -- 30 seconds.",O'Malley,Democratic
1035,,,
1036,"Ever since the attacks of September 11th, my colleagues, Democratic and Republican mayors, Democratic and Republican governors, made me their leader on homeland security and preparedness. Here in the homeland, unlike combating ISIL abroad, we're almost like it's -- your body's immune system. It's able to protect your body against bad bugs, not necessarily because it outnumbers them, but it's better connected -- the fusion centers, the biosurveillance systems, better prepared first responders. But there's another front in this battle, and it is this. That's the political front, and if Donald Trump wants to start a registry in our country of people by faith, he can start with me, and I will sign up as one who is totally opposed to his fascist appeals that wants to vilify American Muslims. That can do more damage to our democracy than",O'Malley,Democratic
1037,,,
1038,,,
1039,,,
1040,,,
1041,Can I get a -- can I just get a very brief response? Very brief.,Sanders,Democratic
1042,,,
1043,"OK. One -- and I agree with what the secretary said, and what Governor O'Malley said. But here's an issue that we also should talk about. We have a $600 billion military budget. It is a budget larger than the next eight countries'. Unfortunately, much of that budget continues to fight the old Cold War with the Soviet Union. Very little of that budget -- less than 10 percent -- actually goes into fighting ISIS and international terrorism. We need to be thinking hard about making fundamental changes in the priorities of the Defense Department.",Sanders,Democratic
1044,,,
1045,,,
1046,,,
1047,"Well, it'll start at the kitchen table, we'll see how it goes from there. And",Clinton,Democratic
1048,,,
1049,"...I'm going to have the very best advisers that I can possibly have, and when it comes to the economy and what was accomplished under my husband's leadership and the '90s -- especially when it came to raising incomes for everybody and lifting more people out of poverty than at any time in recent history -- you bet. I'm going to ask for his ideas, I'm going ask for his advice, and I'm going use him as a goodwill emissary to go around the country to find the best ideas we've got, because I do believe, as he said, everything that's wrong with America has been solved somewhere in America. We just have to do more of it, and we have to reach out, especially into poor communities and communities of color, to give more people their own chance to get ahead.",Clinton,Democratic
1050,,,
1051,,,
1052,"Great ideas, Governor O'Malley, Secretary Clinton, but here's the truth. If you have an administration stacked with Wall Street appointees, it ain't going to accomplish very much. So here's a promise that I make -- and I mentioned a moment ago how corrupt the system is -- Goldman Sachs, paying a $5 billion fine, gives this country, in recent history, a Republican secretary of treasury, a Democratic secretary of treasury. Here's a promise. If elected president, Goldman Sachs is not going to have -- bring forth a secretary of treasury for a Sanders administration.",Sanders,Democratic
1053,,,
1054,,,
1055,"I was asked a question. You know, one of the things, Andrea, and I -- that question annoys me. I cannot walk down the street -- Secretary Clinton knows this -- without being told how much I have to attack secretary Clinton, want to get me on the front pages of the paper, I'd make some vicious attack. I have avoided doing that. Trying to run an issue-oriented campaign.",Sanders,Democratic
1056,,,
1057,I was asked a question.,Sanders,Democratic
1058,,,
1059,"Well -- then if I don't answer it, then there's another front page, so it's yes.",Sanders,Democratic
1060,,,
1061,"And I mean this seriously. You know that. We've been through this. Yes, his behavior was deplorable. Have I ever once said a word about that issue? No, I have not. I'm going to debate Secretary Clinton, Governor O'Malley, on the issues facing the American people, not Bill Clinton's personal behavior.",Sanders,Democratic
1062,,,
1063,,,
1064,,,
1065,,,
1066,,,
1067,,,
1068,"Yes, but we're going to have to get 20 minutes to do it, so.",O'Malley,Democratic
1069,,,
1070,,,
1071,I believe there are many issues. I have 60 seconds for this?,O'Malley,Democratic
1072,,,
1073,"There are so many issues that we haven't been able to discuss here. We have not fully discussed immigration reform, and the deplorable number of immigrant detention camps that our nation's now maintaining. We haven't discussed the shameful treatment that the people of Puerto Rico, our fellow Americans, are getting treated with by these hedge funds that are working them over.",O'Malley,Democratic
1074,,,
1075,"We haven't discussed the fact that in our hemisphere we have the danger of nation-state failures because of drug traffickers; and Honduras, and Guatemala and El Salvador. I guess the bottom line is this, look we are a great people the way we act at home and abroad based on the beliefs that unite us. Our belief in the dignity of every person, our belief in our own common good. There is now challenge that is too great for us to overcome provided we bring forward in these divided times, new leadership that can heal our divides here at home and bring our principles into alignment abroad. We're on the threshold of a new era of American progress and I believe we have only need to join forces together and cross that threshold into a new era of American prosperity.",O'Malley,Democratic
1076,,,
1077,Thanks a lot.,O'Malley,Democratic
1078,,,
1079,"Well Lester, I spent a lot of time last week being outraged by what's happening in Flint, Michigan and I think every single American should be outraged. We've had a city in the United States of America where the population which is poor in many ways and majority African American has been drinking and bathing in lead contaminated water. And the governor of that state acted as though he didn't really care. He had request for help and he had basically stone walled. I'll tell you what, if the kids in a rich suburb of Detroit had been drinking contaminated water and being bathed in it, there would've been action. So I sent my top campaign aide down there to talk to the mayor of Flint to see what I could to help. I issued a statement about what we needed to do and then I went on a T.V. show and I said, ""it was outrageous that the governor hadn't acted and within two hours he had.""",Clinton,Democratic
1080,,,
1081,I want to be a president who takes care of the big problems and the problems that are affecting the people of our country everyday.,Clinton,Democratic
1082,,,
1083,,,
1084,"Well, Secretary Clinton was right and what I did which I think is also right, is demanded the resignation of governor. A man who acts that irresponsibly should not stay in power. Now, we are a great nation -- and we've heard a lot of great ideas here tonight. Let's be honest and let's be truthful. Very little is going to be done to transform our economy and to create the kind of middle class we need unless we end a corrupt campaign finance system which is undermining American democracy. We've got to get rid of Super PACs, we've got to get rid of Citizens' United and what we've got to do is create a political revolution which revitalizes American democracy; which brings millions of young people and working people into the political process. To say loudly and clearly,"" that the government of the United States of America belongs to all of us and not just a handful of wealthy campaign contributors.""",Sanders,Democratic
1085,,,
1086,,,
1087,,,
1088,,,
1089,,,
1090,,,
1091,,,
1092,,,
1093,,,
1094,,,
1095,,,
1096,,,
1097,,,
1098,,,
1099,,,
1100,,,
1101,,,
1102,,,
1103,"Well, I can say this. If the president, and if I were president now, I would certainly want to try and nominate a justice. I'm sure that, frankly, I'm absolutely sure that President Obama will try and do it. I hope that our Senate is going to be able -- Mitch, and the entire group, is going to be able to do something about it. In times of delay, we could have a Diane Sykes, or you could have a Bill Pryor -- we have some fantastic people. But this is a tremendous blow to conservatism. It's a tremendous blow, frankly, to our country.",Trump,Republican
1104,,,
1105,"... I think he's going to do it whether or I'm O.K. with it or not. I think it's up to Mitch McConnell and everybody else to stop it. It's called delay, delay, delay.",Trump,Republican
1106,,,
1107,,,
1108,"Well, John, first of all, if I were president, we wouldn't have the divisions in the country we have today. I do want to take a second as we reflected on Judge Scalia, it's amazing -- it's not even two minutes after the death of Judge Scalia, nine children here today, their father didn't wake up. His wife, sad, but I just wish we hadn't run so fast into politics. Here's my concern about this. The country is so divided right now, and now we're going to see another partisan fight take place. I really wish the president would think about not nominating somebody. If you were to nominate somebody, let's have him pick somebody that's going to have unanimous approval, and such widespread approval across the country that this could happen without a lot of recrimination. I don't think that's going to happen, and I would like the president just to, for once here, put the country first. We're going to have an election for president very soon, and the people will understand what is at stake in that election. And so I believe the president should not move forward, and I think that we ought to let the next president of the United States decide who is going to run that Supreme Court with a vote by the people of the",Kasich,Republican
1109,,,
1110,...States of America.,Kasich,Republican
1111,,,
1112,,,
1113,"Well, the current Constitution actually doesn't address that particular situation, but the fact of the matter is the Supreme Court, obviously, is a very important part of our governmental system. And when our Constitution was put in place, the average age of death was under 50, and therefore the whole concept of lifetime appointments for Supreme Court judges and federal judges was not considered to be a big deal. Obviously, that has changed, and it's something that probably needs to be looked at pretty carefully at some point. But, we need to start thinking about the divisiveness that is going on in our country. I looked at some of the remarks that people made after finding out that Justice Scalia had died, and they were truly nasty remarks. And that we have managed to get to that position in our country is truly a shame. And we should be thinking about how we could create some healing in this land. But, right now, we're not going to get healing with President Obama. That's very United Nations clear. So,",Carson,Republican
1114,,,
1115,... fully agree that we should not allow a judge to be appointed during his time.,Carson,Republican
1116,,,
1117,,,
1118,,,
1119,"Well, let me first talk about Justice Scalia. His loss is tremendous, and obviously our hearts and prayers go out to his family. He will go down as one of the great justices in the history of this republic. You talk about someone who defended consistently the original meaning of the Constitution, who understood that the Constitution was not there to be interpreted based on the fads of the moment, but it was there to be interpreted according to its original meaning. Justice Scalia understood that better than anyone in the history of this republic. His dissent, for example, on the independent counsel case is a brilliant piece of jurist work. And, of course, his dissent on Obergefell as well. No. 2, I do not believe the president should appoint someone. And it's not unprecedented. In fact, it has been over 80 years since a lame duck president has appointed a Supreme Court justice. And it remind us of this, how important this election is. Someone on this stage will get to choose the balance of the Supreme Court, and it will begin by filling this vacancy that's there now. And we need to put people on the bench that understand that the Constitution is not a living and breathing document. It is to be interpreted as originally meant.",Rubio,Republican
1120,,,
1121,,,
1122,,,
1123,,,
1124,That's not accurate.,Rubio,Republican
1125,,,
1126,"No, I've never -- there has been, for example, today, according to the changes Harry Reid made, appellate judges can now be appointed by a simple majority, but not Supreme Court justices. And I think today you see the wisdom of why we don't want that to change. Because if that were the case and we were not in charge of the Senate, Harry Reid and Barack Obama would ram down our throat a liberal justice, like the ones Barack Obama has imposed on us already.",Rubio,Republican
1127,,,
1128,Right.,Bush,Republican
1129,,,
1130,"Not on specific issues, not at all. I think the next president -- if I'm president, I will appoint people -- I'll nominate people that have a proven record in the judiciary. The problem in the past has been we have appointed people thinking you can get it through the Senate because they didn't have a record. And the problem is that sometimes we're surprised. The simple fact is the next president needs to appoint someone with a proven conservative record, similar to Justice Scalia, that is a lover of liberty, that believes in limited government, that consistently applied that kind of philosophy, that didn't try to legislator from the bench, that was respectful of the Constitution. And then fight and fight, and fight for that nomination to make sure that that nomination passes. Of course, the president, by the way, has every right to nominate Supreme Court justices. I'm an Article II guy in the Constitution. We're running for the president of the United States. We want a strong executive for sure. But in return for that, there should be a consensus orientation on that nomination, and there's no doubt in my mind that Barack Obama will not have a consensus pick when he submits that person to the Senate.",Bush,Republican
1131,,,
1132,,,
1133,,,
1134,"Well, we have 80 years of precedent of not confirming Supreme Court justices in an election year. And let me say, Justice Scalia...",Cruz,Republican
1135,,,
1136,,,
1137,"Eighty years of not confirming. For example, L.B.J. nominated Abe Fortas. Fortas did not get confirmed. He was defeated.",Cruz,Republican
1138,,,
1139,"No, Kennedy was confirmed in '87...",Cruz,Republican
1140,,,
1141,He was appointed in...,Cruz,Republican
1142,,,
1143,In this case it's both. But if I could answer the question...,Cruz,Republican
1144,,,
1145,,,
1146,"Justice Scalia was a legal giant. He was somebody that I knew for 20 years. He was a brilliant man. He was faithful to the Constitution. He changed the arc of American legal history. And I'll tell you, his passing tonight, our prayers are with his family, with his wife, Maureen, who he adored, his nine children, his 36 grandkids. But it underscores the stakes of this election. We are one justice away from a Supreme Court that will strike down every restriction on abortion adopted by the states. We are one justice away from a Supreme Court that will reverse the Heller decision, one of Justice Scalia's seminal decisions, that upheld the Second Amendment right to keep and to bear arms. We are one justice away from a Supreme Court that would undermine the religious liberty of millions of Americans -- and the stakes of this election, for this year, for the Senate, the Senate needs to stand strong and say, ""We're not going to give up the U.S. Supreme Court for a generation by allowing Barack Obama to make one more liberal appointee."" And then for the state of South Carolina, one of the most important judgments for the men and women of South Carolina to make is who on this stage has the background, the principle, the character, the judgment and the strength of resolve to nominate and confirm principled constitutionalists to the court? That will be what I will do if I'm elected president.",Cruz,Republican
1147,,,
1148,,,
1149,,,
1150,"What we want to do, when we want to do it, and how hard do we want to hit? Because we are going to have to hit very, very hard to knock out ISIS. We're going to also have to learn who our allies are. We have allies, so-called allies, we're spending billions and billions of dollars supporting people -- we have no idea who they are in Syria. Do we want to stay that route, or do we want to go and make something with Russia? I hate to say Iran, but with Russia, because we -- and the Iran deal is one of the worst deals I have ever seen negotiated in my entire life. It's a disgrace that this country negotiated that deal. But very",Trump,Republican
1151,,,
1152,"Not only a disgrace, it's a disgrace and an embarrassment. But very important, who are we fighting with? Who are we fighting for? What are we doing? We have to rebuild our country. But we have to -- I'm the only one on this stage that said: ""Do not go into Iraq. Do not attack Iraq."" Nobody else on this stage said that. And I said it loud and strong. And I was in the private sector. I wasn't a politician, fortunately. But I said it, and I said it loud and clear, ""You'll destabilize the Middle East."" That's exactly what happened. I also said, by the way, four years ago, three years ago, attack the oil, take the wealth away, attack the oil and keep the oil. They didn't listen. They just started that a few months ago.",Trump,Republican
1153,,,
1154,,,
1155,"No. I think there are three major threats that you want to immediately get on top of. No. 1 is, what are we doing in the Asia-Pacific region, where both North Korea and China pose threats to the national security of the United States. No. 2 is, what are we doing in the Middle East with the combination of the Sunni-Shia conflict driven by the Shia arc that Iran is now trying to establish in the Middle East, also the growing threat of ISIS. And the third is rebuilding and reinvigorating NATO in the European theater, particularly in Central Europe and in Eastern Europe, where Vladimir Putin is now threatening the territory of multiple countries, already controls 20 percent of Georgia and a significant percentage of Ukraine.",Rubio,Republican
1156,,,
1157,,,
1158,,,
1159,"Well, let me tell you what has happened a couple of years ago. One of the hardest decisions you'll ever make in Congress is when you are asked by the president to authorize the use of force in a conflict, because you are now putting your name, on behalf of the people of your state, behind a military action, where Americans in uniform could lose their life. So, in 2014, Barack Obama said he would not take military action against Assad unless it was authorized by the Senate, beginning on the Committee of Foreign Relations, where I am one of its members. And it was hard because you looked at the pictures. I saw the same images people saw. I'm the father of children. I saw the images of these little children -- been gassed and poisoned by their own leaders, and we were angry. Something had to happen, and there was the sense that we needed to seek retribution. And then I looked at Barack Obama's plan. Barack Obama's plan, which John Kerry later described as unbelievably small, and I concluded that that attack would not only not help the situation, it would make it actually worse. It would allow Assad to stand up to the United States of America, survive a strike, stay in power and actually strengthen his grip. So it was a difficult decision to make, and when we only had a few days to look at and make a decision on it, and I voted against Barack Obama's plan to use force, and it was the right decision.",Rubio,Republican
1160,,,
1161,,,
1162,,,
1163,"No, it isn't. First of all, let me go back to your first question for me. It wasn't phrased as who gets to nominate Supreme Court appointees. Of course that's the president. So I know that there are some left-wing media who would try to make hay on that. Secondly, thank you for including me in the debate. Two questions already. This is great. Now, as",Carson,Republican
1164,,,
1165,"...as far as those 2 a.m. phone calls are concerned, judgment is what is required. And the kinds of things that you come up with are sometimes very, very difficult and very unique. One of the things that I was known for is doing things that have not been done before. So no amount of experience really prepares you to do something that has never been done before. That's where judgment comes in. And that, I think, is a situation that we're in right now, a situation that we have never been in before with the kinds of threats that pose real danger to our nation, and it comes in very handy in those situations.",Carson,Republican
1166,,,
1167,,,
1168,,,
1169,"First of all -- yes. First of all, look, we have to make it clear to Russia what we expect. We don't have to declare an enemy, rattle a sword or threaten, but we need to make it clear what we expect. No. 1 is we will arm the folks in Ukraine who are fighting for their freedom. They deserve it. There will be no ifs, ands or buts about it. Secondly, an attack on NATO, trumped up on any excuse of Russian-speaking people, either in the NATO countries or in Finland or Sweden, is going to be an attack on us. And look, I think we have an opportunity as America to put something really great together again. The Egyptians, the Saudis, the Jordanians, the Gulf states, they all know they're at risk. We need to look into Europe, we look at France, we look at Germany and the migrants. We look at Belgium, we look at Britain. Everybody now is being threatened by radical Islam. We have an opportunity to lead. You know, the fact of the matter is the world is desperate for our leadership. Sometimes they may -- they may make a remark here or there that we don't like, but frankly, the world needs us. And we have an opportunity now to assemble a coalition of the civilized people, those who respect civilization, the rights of women, the rights to protest, to be able to reassert our leadership all across this globe again and make sure this century is going to be the best we've ever seen.",Kasich,Republican
1170,,,
1171,,,
1172,Yes.,Bush,Republican
1173,,,
1174,"No, it doesn't, and that's the problem. The lack of leadership in this country by Barack Obama, John Kerry, Hillary Clinton, thinking that this is a policy that works, this policy of containment with ISIS. It's a complete, unmitigated disaster. And to allow Russia now to have influence in Syria makes it harder, but we need to destroy ISIS and dispose of Assad to create a stable Syria so that the four million refugees aren't a breeding ground for Islamic jihadists. This is the problem. Donald Trump brought up the fact that he would -- he'd want to accommodate Russia. Russia is not taking out ISIS. They're -- they're attacking our -- our -- our team, the team that we've been training and the team that we've been supporting. It is absolutely ludicrous to suggest that Russia could be a positive partner in this. They are on the run. They are making -- every time we step back, they're on the run. The question that you asked was a really good one about what you would do -- what three things would you do. I would restore the military, the sequester needs to be reversed. I would have a strategy to destroy ISIS, and I would immediately create a policy of containment as it relates to Iran's ambitions, and to make it make clear that we are not going to allow for Iran to do what it's doing, which is to move towards a nuclear weapon. Those three things would be the first and foremost things that we need to",Bush,Republican
1175,,,
1176,... in 2017.,Bush,Republican
1177,,,
1178,,,
1179,,,
1180,"(inaudible) called me a genius, I like him so far, I have to tell you. Let me just tell you this. Jeb is so wrong. Jeb is absolutely self -- just so you understand, you know what that is? That's Jeb's special interest and lobbyist talking. Look, let me just tell you something, Jeb -- Jeb is so wrong. You got to fight ISIS first. You fight ISIS first. Right now you have Russia, you have Iran, you have them with Assad, and you have them with Syria. You have to knock out ISIS. They're chopping off heads. These are animals. You have to knock 'em out. You have to knock them off strong. You decide what to do after, you can't fight two wars at one time. If you listen to him, and you listen to some of the folks that I've been listening to, that's why we've been in the Middle East for 15 years, and we haven't won anything. We've spent $5 trillion dollars in the Middle East with thinking like that. We've spent",Trump,Republican
1181,,,
1182,"...Lindsey Graham, who backs him, had zero on his polls. Let me just say something -- we've spent -- we've spent. I only tell the truth, lobbyists. We've spent $5 trillion dollars all over the -- we have to rebuild our country. We have to rebuild our infrastructure. You listen to that, you're going to be there for another 15...",Trump,Republican
1183,,,
1184,... You'll end up with World War III...,Trump,Republican
1185,,,
1186,"The very basic fact is that Vladimir Putin is not going to be an ally of the United States. The whole world knows this. It's a simple, basic fact.",Bush,Republican
1187,,,
1188,"They're not taking out -- they're not even attempting to take out ISIS. They're attacking the troops that we're supporting. We need to create a coalition, Sunni-led coalition on the ground with our special operators to destroy ISIS and bring about stability. And you can't do that with Assad in power. He has...",Bush,Republican
1189,... We're supporting troops...,Trump,Republican
1190,... Let me finish...,Bush,Republican
1191,... that we don't even know who they are.,Trump,Republican
1192,,,
1193,... This is ridiculous...,Bush,Republican
1194,... We're supporting troops that we don't even know who they are...,Trump,Republican
1195,,,
1196,We have no idea who they are.,Trump,Republican
1197,,,
1198,... This is coming from a guy who gets his foreign policy from the shows.,Bush,Republican
1199,"... Oh, yeah, yeah...",Trump,Republican
1200,... This is a guy who thinks that Hillary Clinton is a great negotiator in Iran...,Bush,Republican
1201,"... Let 44 million in New Hampshire, it was practically (inaudible)...",Trump,Republican
1202,... This is a man who insults his way to the nomination...,Bush,Republican
1203,... 44 million -- give me a break.,Trump,Republican
1204,,,
1205,,,
1206,,,
1207,,,
1208,"Well, we need to focus on what the objective is, you know? Your question about the first three questions you would ask in this Situation Room. I think it is a problem if the president, commander in chief, we've elected does not have the experience and background to understand the threats facing this country coming in on Day 1. If you look at the threats facing this country, the single gravest threat, national security threat, is the threat of a nuclear Iran. That's why I've pledged on Day 1 to rip to shreds this Iranian nuclear deal, and anyone that thinks you can negotiate Khamenei does not understand the nature of Khamenei. When it comes to ISIS, we've got to have a focused objective. One of the problems of Barack Obama and Hillary Clinton's foreign policy, and, sadly, too many establishment Republicans in Washington, is they focus on issues unrelated to protecting this country. They focus on nation building, they focus on toppling governments to promote democracy, and it ends up undermining our national security. Now, with regard to ISIS, we need a commander in chief that sets the objective we will utterly defeat them because they have declared war. They've declared a jihad on us. Now, what do we",Cruz,Republican
1209,,,
1210,"...to carry that out. We need overwhelming air power, we need to arm the Kurds, who can be our boots on the ground, and if ground troops are necessary, then we should employ them, but it shouldn't be politicians demonstrating political toughness. It should be military expert judgment carrying out the objectives set out by the commander in chief.",Cruz,Republican
1211,,,
1212,,,
1213,"We have Kurds in both Iraq and Syria. They are fighting ISIS right now. They are winning victories right now. ISIS is using American military equipment they've seized in Iraq. And the Obama administration refuses to arm the Kurds, the pesh merga, the fighting forces who have been longtime allies. We ought to be arming them and letting them fight. Now, if we need to embed Special Forces to direct our overwhelming air power, if it is required to use ground troops to defeat ISIS, we should use them, but we ought to start with using our incredible air power advantage. The first Persian Gulf War, we launched 1,100 air attacks a day. Today, we're launching between 15 and 30. We're not using the tools we have, and it's because the commander in chief is not focused on defeating the enemy.",Cruz,Republican
1214,,,
1215,,,
1216,,,
1217,"First of all, I have to say, as a businessman, I get along with everybody. I have business all over the world.",Trump,Republican
1218,,,
1219,"I know so many of the people in the audience. And by the way, I'm a self-funder. I don't have -- I have my wife and I have my son. That's all I have. I don't have this.",Trump,Republican
1220,,,
1221,"So let me just tell you, I get along with everybody, which is my obligation to my company, to myself, et cetera. Obviously, the war in Iraq was a big, fat mistake. All right? Now, you can take it any way you want, and it took -- it took Jeb Bush, if you remember at the beginning of his announcement, when he announced for president, it took him five days. He went back, it was a mistake, it wasn't a mistake. It took him five days before his people told him what to say, and he ultimately said, ""It was a mistake."" The war in Iraq, we spent $2 trillion, thousands of lives, we don't even have it. Iran has taken over Iraq, with the second-largest oil reserves in the world. Obviously, it was a mistake.",Trump,Republican
1222,,,
1223,George Bush made a mistake. We can make mistakes. But that one was a beauty. We should have never been in Iraq. We have destabilized the Middle East.,Trump,Republican
1224,,,
1225,"I think it's my turn, isn't it?",Bush,Republican
1226,"You do whatever you want. You call it whatever you want. I want to tell you. They lied. They said there were weapons of mass destruction, there were none. And they knew there were none. There were no weapons of mass destruction.",Trump,Republican
1227,,,
1228,,,
1229,I've got about five or six...,Bush,Republican
1230,,,
1231,"Do I get to do it five or six times or just once, responding to that?",Bush,Republican
1232,I'm being nice.,Trump,Republican
1233,So here's the deal. I'm sick and tired of Barack Obama blaming my brother for all of the problems that he has had.,Bush,Republican
1234,,,
1235,"And, frankly, I could care less about the insults that Donald Trump gives to me. It's blood sport for him. He enjoys it. And I'm glad he's happy about it. But I am sick and tired...",Bush,Republican
1236,He spent $22 million in...,Trump,Republican
1237,,,
1238,I am sick and tired of him going after my family. My dad is the greatest man alive in my mind.,Bush,Republican
1239,,,
1240,"And while Donald Trump was building a reality TV show, my brother was building a security apparatus to keep us safe. And I'm proud of what he did.",Bush,Republican
1241,,,
1242,And he has had the gall to go after my brother.,Bush,Republican
1243,"The World Trade Center came down during your brother's reign, remember that.",Trump,Republican
1244,,,
1245,He has had the gall to go after my mother. Hold on. Let me finish. He has had the gall to go after my mother.,Bush,Republican
1246,That's not keeping us safe.,Trump,Republican
1247,"Look, I won the lottery when I was born 63 years ago, looked up, and I saw my mom. My mom is the strongest woman I know.",Bush,Republican
1248,She should be running.,Trump,Republican
1249,This is not about my family or his family. This is about the South Carolina families that need someone to be a commander in chief that can lead. I'm that person.,Bush,Republican
1250,,,
1251,,,
1252,,,
1253,"I've got to tell you, this is just crazy, huh?",Kasich,Republican
1254,,,
1255,"This is just nuts, O.K.? Jeez, oh, man. I'm sorry, John.",Kasich,Republican
1256,,,
1257,"Oh, well, listen, I think being in Iraq, look, we thought there were weapons of mass destruction. Colin Powell, who is one of the most distinguished generals in modern time, said there were weapons there.",Kasich,Republican
1258,,,
1259,"But, but, the fact is we got ourselves in the middle of a civil war. The Sunni, the Shia and the Kurds, never gotten along. In fact, that country was drawn -- the borders of that country were drawn after World War I by Westerners that didn't understand what was happening there. The tragedy of it is that we're still embroiled. And, frankly, if there weren't weapons of mass destruction, we should never have gone. I don't believe the United States should involve itself in civil wars. Civil wars are not in our direct interest, and if you -- and look, I served on a defense committee for 18 years and was called into the Pentagon after 9/11 by Secretary Rumsfeld to deal with some of the most serious problems that we faced. The fact is, is that we should go to war when it is our direct interest. We should not be policemen of the world, but when we go, we mean business. We'll do our job. We'll tell our soldiers, our people in the service, take care of your job and then come home once we've accomplished our goals. That's what we need to do.",Kasich,Republican
1260,,,
1261,"I just want to say, at least on behalf of me and my family, I thank God all the time it was George W. Bush in the White House on 9/11 and not Al Gore.",Rubio,Republican
1262,,,
1263,"And you can -- I think you can look back in hindsight and say a couple of things, but he kept us safe. And not only did he keep us safe, but no matter what you want to say about weapons of mass destruction, Saddam Hussein was in violation of U.N. resolutions, in open violation, and the world wouldn't do anything about it, and George W. Bush enforced what the international community refused to do. And again, he kept us safe, and I am forever grateful to what he did for this country.",Rubio,Republican
1264,,,
1265,"How did he keep us safe when the World Trade Center -- the World -- excuse me. I lost hundreds of friends. The World Trade Center came down during the reign of George Bush. He kept us safe? That is not safe. That is not safe, Marco. That is not safe.",Trump,Republican
